time,current position,reference position
13.562,-0.3996571276977443,-0.4
13.572,-0.39966832872923996,-0.4
13.582,-0.3996795297607356,-0.4
13.591,-0.3996907307922313,-0.4
13.602,-0.3997015706971183,-0.4
13.611,-0.3997118689120924,-0.4
13.621,-0.3997208192345667,-0.4
13.632,-0.3997310340225302,-0.4
13.642,-0.3997403098664254,-0.4
13.651,-0.3997495857103206,-0.4
13.662,-0.3997588615542158,-0.4
13.671,-0.3997672098137215,-0.4
13.682,-0.39977700867556054,-0.4
13.691,-0.3997846287154636,-0.4
13.701,-0.399793095426467,-0.4
13.712,-0.39980240880857076,-0.4
13.722,-0.39981087551957417,-0.4
13.732,-0.3998193422305776,-0.4
13.742,-0.399827808941581,-0.4
13.751,-0.3998359943707539,-0.4
13.761,-0.3998434866411291,-0.4
13.772,-0.39985094877416505,-0.4
13.781,-0.399858410907201,-0.4
13.791,-0.3998658730402369,-0.4
13.801,-0.39987333517327284,-0.4
13.812,-0.39988079730630877,-0.4
13.822,-0.3998879750669122,-0.4
13.831,-0.39989453330185865,-0.4
13.842,-0.39990108138064673,-0.4
13.850999999999999,-0.3999076294594348,-0.4
13.862,-0.3999141775382229,-0.4
13.872,-0.3999213804248898,-0.4
13.881,-0.39992661888792025,-0.4
13.891,-0.39993345598171537,-0.4
13.901,-0.3999391911874546,-0.4
13.911,-0.3999449263931938,-0.4
13.921,-0.3999500880783591,-0.4
13.932,-0.3999563968046722,-0.4
13.942,-0.3999621320104114,-0.4
13.951,-0.39996786721615063,-0.4
13.961,-0.3999727437185132,-0.4
13.972,-0.39997805430501443,-0.4
13.981,-0.3999828728517427,-0.4
13.992,-0.399987691398471,-0.4
14.002,-0.3999925099451993,-0.4
14.012,-0.3999973284919276,-0.4
14.022,-0.4000021470386559,-0.4
14.031,-0.4000069655853842,-0.4
14.041,-0.40001178413211247,-0.4
14.05,-0.4000158377873233,-0.4
14.062,-0.4000201475597682,-0.4
14.072,-0.4000240563452102,-0.4
14.082,-0.4000279651306522,-0.4
14.092,-0.4000318739160942,-0.4
14.101,-0.40003539182299197,-0.4
14.112,-0.40003969148697816,-0.4
14.122,-0.40004360027242014,-0.4
14.131,-0.40004689914510205,-0.4
14.142,-0.40005019750981385,-0.4
14.151,-0.4000531675771859,-0.4
14.161,-0.40005584063782074,-0.4
14.172,-0.40005910771193,-0.4
14.181,-0.4000617807725648,-0.4
14.191,-0.40006475083993687,-0.4
14.202,-0.4000680179140461,-0.4
14.212,-0.40007098798141816,-0.4
14.222,-0.4000742550555274,-0.4
14.231,-0.40007663110942504,-0.4
14.242,-0.4000798981835343,-0.4
14.251,-0.40008286825090633,-0.4
14.262,-0.4000858383182784,-0.4
14.272,-0.4000891053923876,-0.4
14.281,-0.4000912693806442,-0.4
14.291,-0.4000933608903572,-0.4
14.302,-0.4000956282264405,-0.4
14.312,-0.4000976894410617,-0.4
14.322,-0.40009975065568293,-0.4
14.331,-0.400101605748842,-0.4
14.341,-0.40010387308492534,-0.4
14.352,-0.40010593429954655,-0.4
14.362,-0.40010799551416776,-0.4
14.372,-0.40011005672878897,-0.4
14.381,-0.4001121179434102,-0.4
14.391,-0.4001141791580314,-0.4
14.401,-0.40011603425119047,-0.4
14.412,-0.4001180954658117,-0.4
14.421,-0.400120362801895,-0.4
14.431,-0.4001224240165162,-0.4
14.441,-0.4001242791096753,-0.4
14.451,-0.4001265464457586,-0.4
14.461,-0.40012860766037983,-0.4
14.471,-0.4001304627535389,-0.4
14.481,-0.4001325239681601,-0.4
14.491,-0.40013458518278133,-0.4
14.502,-0.40013685251886466,-0.4
14.511,-0.40013891373348587,-0.4
14.521,-0.40014076882664495,-0.4
14.531,-0.4001430361627283,-0.4
14.542,-0.4001447281570769,-0.4
14.552,-0.4001458663210178,-0.4
14.561,-0.40014689066856457,-0.4
14.572,-0.40014814264889953,-0.4
14.581,-0.4001492808128404,-0.4
14.592,-0.4001504189767813,-0.4
14.602,-0.40015155714072215,-0.4
14.612,-0.400152695304663,-0.4
14.622,-0.4001538334686039,-0.4
14.632,-0.40015497163254476,-0.4
14.642,-0.40015610979648564,-0.4
14.652,-0.4001572479604265,-0.4
14.661,-0.4001583861243674,-0.4
14.672,-0.40015963810470234,-0.4
14.681000000000001,-0.40016054863585504,-0.4
14.69,-0.4001616867997959,-0.4
14.702,-0.4001629387801309,-0.4
14.711,-0.40016407694407174,-0.4
14.721,-0.4001652151080126,-0.4
14.73,-0.4001662394555594,-0.4
14.741,-0.40016749143589436,-0.4
14.751,-0.40016851578344115,-0.4
14.761,-0.400169653947382,-0.4
14.771,-0.4001707921113229,-0.4
14.782,-0.40017204409165785,-0.4
14.791,-0.4001731822555987,-0.4
14.801,-0.4001742066031455,-0.4
14.811,-0.4001753447670864,-0.4
14.822,-0.40017659674742134,-0.4
14.832,-0.4001777349113622,-0.4
14.842,-0.4001788730753031,-0.4
14.850999999999999,-0.4001798974228499,-0.4
14.863,-0.4001812632195789,-0.4
14.871,-0.4001822875671257,-0.4
14.881,-0.4001833119146725,-0.4
14.891,-0.40018445007861336,-0.4
14.902,-0.4001857020589483,-0.4
